Time,u100,v100
2021-01-13 13:00:00,3.58888,4.65221
2021-01-13 14:00:00,5.05021,6.44852
2021-01-13 15:00:00,8.12934,7.82395
2021-01-13 16:00:00,8.68236,7.0885
2021-01-13 17:00:00,9.33969,5.30522
2021-01-13 18:00:00,9.06372,2.00332
2021-01-13 19:00:00,8.76928,-0.395
2021-01-13 20:00:00,8.80079,-1.53722
2021-01-13 21:00:00,10.25235,-2.84648
2021-01-13 22:00:00,8.89097,-2.86492
2021-01-13 23:00:00,10.08829,-3.75439
2021-01-14 00:00:00,10.49035,-4.87525
2021-01-14 01:00:00,10.3863,-4.73237
2021-01-14 02:00:00,11.05946,-4.51904
2021-01-14 03:00:00,11.30187,-4.23625
2021-01-14 04:00:00,12.38391,-3.69549
2021-01-14 05:00:00,12.72517,-3.53574
2021-01-14 06:00:00,12.65234,-3.72823
2021-01-14 07:00:00,12.53789,-3.81158
2021-01-14 08:00:00,11.96358,-4.02491
2021-01-14 09:00:00,11.13541,-3.83142
2021-01-14 10:00:00,8.4761,-3.91278
2021-01-14 11:00:00,8.06825,-3.24799
2021-01-14 12:00:00,7.35765,-3.20731
2021-01-14 13:00:00,6.95084,-3.64488
2021-01-14 14:00:00,6.71987,-3.56749
2021-01-14 15:00:00,6.60438,-3.58336
2021-01-14 16:00:00,5.92811,-3.42461
2021-01-14 17:00:00,5.54836,-3.20235
2021-01-14 18:00:00,5.36837,-3.14281
2021-01-14 19:00:00,4.77637,-2.85407
2021-01-14 20:00:00,4.58389,-2.65265
2021-01-14 21:00:00,4.561,-2.52962
2021-01-14 22:00:00,2.79437,-1.51258
2021-01-14 23:00:00,1.18796,-0.99464
2021-01-15 00:00:00,-0.28578,0.16745
2021-01-15 01:00:00,-0.90751,1.17355
2021-01-15 02:00:00,-0.81953,1.85293
2021-01-15 03:00:00,-0.44219,2.33869
2021-01-15 04:00:00,-0.14012,2.42945
2021-01-15 05:00:00,-0.91142,2.12174
2021-01-15 06:00:00,-3.18035,1.59362
2021-01-15 07:00:00,-5.3476,1.52707
2021-01-15 08:00:00,-6.20688,1.99555
2021-01-15 09:00:00,-7.07985,2.76136
2021-01-15 10:00:00,-7.61946,3.60151
2021-01-15 11:00:00,-8.1757,5.58778
2021-01-15 12:00:00,-8.00267,7.4712
2021-01-15 13:00:00,-7.41515,8.92676
2021-01-15 14:00:00,-5.58124,10.07548
2021-01-15 15:00:00,-4.31823,11.0133
2021-01-15 16:00:00,-3.30156,11.66675
2021-01-15 17:00:00,-2.80789,12.18536
2021-01-15 18:00:00,-1.38358,12.85177
2021-01-15 19:00:00,0.59403,13.64611
2021-01-15 20:00:00,5.92176,10.30194
2021-01-15 21:00:00,8.38424,4.2636
2021-01-15 22:00:00,6.69208,1.95406
2021-01-15 23:00:00,9.38331,-0.54132
2021-01-16 00:00:00,9.75895,-2.78728
2021-01-16 01:00:00,8.88886,-2.89486
2021-01-16 02:00:00,8.25991,-2.0278
2021-01-16 03:00:00,8.25794,-1.86369
2021-01-16 04:00:00,8.58866,-1.62937
2021-01-16 05:00:00,9.0424,-1.73331
2021-01-16 06:00:00,8.2668,-2.29129
2021-01-16 07:00:00,7.5414,-2.75172
2021-01-16 08:00:00,6.69887,-3.32976
2021-01-16 09:00:00,6.26973,-3.5194
2021-01-16 10:00:00,5.56697,-2.21926
2021-01-16 11:00:00,5.98429,-3.18479
2021-01-16 12:00:00,5.66441,-4.32993
2021-01-16 13:00:00,5.83665,-5.18423
2021-01-16 14:00:00,6.51973,-5.104
2021-01-16 15:00:00,6.50005,-4.91618
2021-01-16 16:00:00,6.48036,-4.97271
2021-01-16 17:00:00,6.09256,-4.98092
2021-01-16 18:00:00,5.98921,-4.26976
2021-01-16 19:00:00,5.70673,-3.89868
2021-01-16 20:00:00,5.84158,-3.54493
2021-01-16 21:00:00,5.70968,-2.69063
2021-01-16 22:00:00,4.37305,-1.07321
2021-01-16 23:00:00,5.61815,-1.37591
2021-01-17 00:00:00,5.67026,-1.30045
2021-01-17 01:00:00,6.14309,-0.89583
2021-01-17 02:00:00,6.83941,-0.5175
2021-01-17 03:00:00,6.80616,-0.93437
2021-01-17 04:00:00,6.35272,-1.48962
2021-01-17 05:00:00,6.63439,-0.93962
2021-01-17 06:00:00,6.72212,-1.10515
2021-01-17 07:00:00,6.44785,-1.8592
2021-01-17 08:00:00,5.9039,-1.87671
2021-01-17 09:00:00,5.43477,-1.45459
2021-01-17 10:00:00,5.83834,-1.58946
2021-01-17 11:00:00,6.83664,-2.03698
2021-01-17 12:00:00,6.99456,-2.42846
2021-01-17 13:00:00,7.03334,-2.8392
2021-01-17 14:00:00,7.05643,-3.26045
2021-01-17 15:00:00,6.87265,-3.25432
2021-01-17 16:00:00,6.60115,-3.66244
2021-01-17 17:00:00,5.5853,-3.98736
2021-01-17 18:00:00,4.49095,-3.58537
2021-01-17 19:00:00,3.78909,-3.41021
2021-01-17 20:00:00,3.02074,-3.48816
2021-01-17 21:00:00,2.03814,-3.51268
2021-01-17 22:00:00,-0.46639,-5.07596
2021-01-17 23:00:00,-1.57644,-3.50305
2021-01-18 00:00:00,-1.71256,-0.45535
2021-01-18 01:00:00,-2.26795,2.07594
2021-01-18 02:00:00,-3.93212,3.74463
2021-01-18 03:00:00,-4.7803,3.32202
2021-01-18 04:00:00,-4.59517,2.90485
2021-01-18 05:00:00,-4.31043,3.59688
2021-01-18 06:00:00,-3.91401,4.40081
2021-01-18 07:00:00,-3.23788,4.68762
2021-01-18 08:00:00,-0.87142,5.64907
2021-01-18 09:00:00,2.77587,4.55399
2021-01-18 10:00:00,5.48342,-4.82915
2021-01-18 11:00:00,-0.22648,-6.07959
2021-01-18 12:00:00,-2.50943,-3.52006
2021-01-18 13:00:00,-2.62312,-0.63026
2021-01-18 14:00:00,-3.45118,1.50015
2021-01-18 15:00:00,-1.80613,3.57624
2021-01-18 16:00:00,-1.6874,4.77779
2021-01-18 17:00:00,-1.10283,4.88534
2021-01-18 18:00:00,3.21556,3.045
2021-01-18 19:00:00,14.00046,-7.05734
2021-01-18 20:00:00,15.96346,-6.43375
2021-01-18 21:00:00,14.98045,-6.86722
2021-01-18 22:00:00,6.76123,-5.73629
2021-01-18 23:00:00,9.08543,-7.74611
2021-01-19 00:00:00,9.90259,-12.58571
2021-01-19 01:00:00,10.51021,-11.31276
2021-01-19 02:00:00,11.72932,-9.27582
2021-01-19 03:00:00,12.21039,-8.56717
2021-01-19 04:00:00,12.23744,-8.24595
2021-01-19 05:00:00,11.32456,-7.87806
2021-01-19 06:00:00,10.66574,-7.88783
2021-01-19 07:00:00,9.89873,-7.56769
2021-01-19 08:00:00,9.61472,-7.56444
2021-01-19 09:00:00,9.09887,-7.0826
2021-01-19 10:00:00,7.19582,-6.59426
2021-01-19 11:00:00,8.33185,-6.2025
2021-01-19 12:00:00,8.87958,-6.26869
2021-01-19 13:00:00,8.98681,-6.03212
2021-01-19 14:00:00,8.48352,-5.17588
2021-01-19 15:00:00,8.43329,-4.77219
2021-01-19 16:00:00,8.62939,-4.20896
2021-01-19 17:00:00,8.80134,-3.76402
2021-01-19 18:00:00,9.11432,-3.48295
2021-01-19 19:00:00,9.34327,-3.45908
2021-01-19 20:00:00,9.58864,-3.58605
2021-01-19 21:00:00,9.65239,-3.96913
2021-01-19 22:00:00,8.5038,-4.82211
2021-01-19 23:00:00,8.78105,-4.86009
2021-01-20 00:00:00,8.85261,-4.53465
2021-01-20 01:00:00,9.11621,-4.64107
2021-01-20 02:00:00,9.01222,-4.83006
2021-01-20 03:00:00,9.05752,-4.81446
2021-01-20 04:00:00,8.92778,-4.69703
2021-01-20 05:00:00,8.4706,-4.49061
2021-01-20 06:00:00,7.75909,-4.12824
2021-01-20 07:00:00,7.48725,-4.14842
2021-01-20 08:00:00,5.9767,-3.24751
2021-01-20 09:00:00,5.41862,-2.48789
2021-01-20 10:00:00,5.18385,-1.33837
2021-01-20 11:00:00,5.03763,-0.45765
2021-01-20 12:00:00,4.30861,0.74417
2021-01-20 13:00:00,3.77009,1.83131
2021-01-20 14:00:00,3.88747,2.60836
2021-01-20 15:00:00,3.93587,3.35055
2021-01-20 16:00:00,3.57136,4.69181
2021-01-20 17:00:00,3.73714,5.41841
2021-01-20 18:00:00,5.42376,5.47987
2021-01-20 19:00:00,6.97859,5.66519
2021-01-20 20:00:00,7.94958,5.76611
2021-01-20 21:00:00,8.92778,5.56336
2021-01-20 22:00:00,7.71481,5.21749
2021-01-20 23:00:00,8.8763,5.96152
2021-01-21 00:00:00,9.69422,6.1147
2021-01-21 01:00:00,10.69352,6.1002
2021-01-21 02:00:00,10.6079,5.24859
2021-01-21 03:00:00,10.54846,4.16499
2021-01-21 04:00:00,10.11026,3.11329
2021-01-21 05:00:00,9.63277,2.28488
2021-01-21 06:00:00,8.77249,1.731
2021-01-21 07:00:00,7.90112,1.12009
2021-01-21 08:00:00,6.73863,0.83976
2021-01-21 09:00:00,5.61844,0.90356
2021-01-21 10:00:00,3.46974,0.91323
2021-01-21 11:00:00,3.35893,2.15052
2021-01-21 12:00:00,3.78403,3.04466
2021-01-21 13:00:00,3.67927,3.38492
2021-01-21 14:00:00,4.22123,3.8286
2021-01-21 15:00:00,5.0513,4.32642
2021-01-21 16:00:00,5.43913,4.48205
2021-01-21 17:00:00,5.50763,4.31385
2021-01-21 18:00:00,5.56606,3.64011
2021-01-21 19:00:00,5.695,2.53621
2021-01-21 20:00:00,5.00395,0.62614
2021-01-21 21:00:00,3.94521,-2.87019
2021-01-21 22:00:00,2.61953,-5.5294
2021-01-21 23:00:00,2.67493,-4.03885
2021-01-22 00:00:00,3.5218,-2.20652
2021-01-22 01:00:00,4.43146,-1.9822
2021-01-22 02:00:00,4.97204,-2.62235
2021-01-22 03:00:00,4.55683,-2.87735
2021-01-22 04:00:00,4.21182,-2.82233
2021-01-22 05:00:00,3.84073,-2.90062
2021-01-22 06:00:00,3.53284,-3.47834
2021-01-22 07:00:00,3.3142,-4.37772
2021-01-22 08:00:00,2.92707,-5.24747
2021-01-22 09:00:00,2.53191,-5.56489
2021-01-22 10:00:00,3.00931,-6.21244
2021-01-22 11:00:00,2.24307,-6.35952
2021-01-22 12:00:00,1.34143,-6.24313
2021-01-22 13:00:00,1.0546,-5.64002
2021-01-22 14:00:00,1.69948,-5.00728
2021-01-22 15:00:00,1.82786,-5.27604
2021-01-22 16:00:00,1.42267,-5.56384
2021-01-22 17:00:00,0.90717,-5.40301
2021-01-22 18:00:00,0.82392,-4.27191
2021-01-22 19:00:00,0.48594,-4.0878
2021-01-22 20:00:00,-0.26024,-4.36502
2021-01-22 21:00:00,-0.9653,-3.72699
2021-01-22 22:00:00,-1.13981,-3.46776
2021-01-22 23:00:00,-1.91107,-1.79915
2021-01-23 00:00:00,-1.84576,-1.51951
2021-01-23 01:00:00,-1.77666,-2.16945
